iter	Passed	Remaining
1086	37560	66101
1087	37576	66035
1088	37593	65970
1089	37617	65916
1090	37735	66027
1091	37762	65979
1092	37785	65925
1093	37801	65859
1094	37819	65795
1095	37834	65727
1096	37936	65810
1097	37960	65756
1098	37979	65696
1099	38089	65791
1100	38116	65742
1101	38136	65683
1102	38154	65620
1103	38174	65561
1104	38287	65660
1105	38309	65603
1106	38329	65545
1107	38347	65480
1108	38362	65413
1109	38424	65425
1110	38486	65437
1111	38505	65377
1112	38523	65313
1113	38539	65247
1114	38556	65182
1115	38664	65272
1116	38685	65215
1117	38705	65154
1118	38723	65092
1119	38740	65028
1120	38759	64968
1121	38865	65052
1122	38889	65000
1123	38910	64942
1124	38928	64881
1125	38945	64817
1126	38962	64752
1127	39068	64837
1128	39094	64788
1129	39115	64730
1130	39133	64669
1131	39247	64764
1132	39281	64730
1133	39308	64681
1134	39330	64626
1135	39381	64618
1136	39455	64648
1137	39476	64591
1138	39496	64532
1139	39512	64467
1140	39529	64404
1141	39565	64372
1142	39658	64432
1143	39681	64378
1144	39698	64314
1145	39713	64248
1146	39730	64184
1147	39747	64121
1148	39760	64053
1149	39774	63984
1150	39885	64072
1151	39903	64011
1152	39923	63953
1153	39937	63885
1154	39950	63817
1155	40064	63909
1156	40086	63854
1157	40106	63796
1158	40122	63732
1159	40137	63666
1160	40150	63596
1161	40224	63625
1162	40274	63615
1163	40293	63555
1164	40310	63493
1165	40325	63427
1166	40340	63362
1167	40353	63294
1168	40369	63230
1169	40485	63322
1170	40514	63280
1171	40535	63223
1172	40552	63162
1173	40566	63095
1174	40673	63173
1175	40690	63111
1176	40704	63044
1177	40718	62979
1178	40731	62910
1179	40744	62843
1180	40848	62915
1181	40872	62864
1182	40891	62805
1183	40912	62751
1184	40930	62691
1185	40943	62623
1186	41002	62625
1187	41081	62660
1188	41104	62607
1189	41121	62545
1190	41142	62490
1191	41158	62428
1192	41176	62368
1193	41190	62303
1194	41304	62389
1195	41325	62333
1196	41345	62277
1197	41362	62216
1198	41379	62155
1199	41395	62092
1200	41504	62169
1201	41531	62123
1202	41560	62081
1203	41584	62031
1204	41605	61977
1205	41718	62058
1206	41740	62005
1207	41757	61945
1208	41774	61884
1209	41789	61820
