Date,Close/Last,Volume,Open,High,Low
7/17/2019,$142.57 ,5296353,$144.60 ,$144.68 ,$142.37 
7/16/2019,$144.30 ,5854707,$144.75 ,$144.99 ,$143.81 
7/15/2019,$145.06 ,5289248,$145.13 ,$145.36 ,$143.97 
7/12/2019,$144.88 ,8510020,$144.15 ,$145.43 ,$144.00 
7/11/2019,$143.56 ,10471130,$144.01 ,$145.34 ,$143.54 
7/10/2019,$143.54 ,9533663,$142.40 ,$144.25 ,$142.01 
7/9/2019,$141.61 ,7396283,$140.06 ,$141.72 ,$139.75 
7/8/2019,$141.02 ,4993865,$142.18 ,$142.23 ,$140.97 
7/5/2019,$142.45 ,5595988,$141.42 ,$142.89 ,$140.70 
7/3/2019,$142.98 ,4150852,$142.70 ,$143.00 ,$142.00 
7/2/2019,$142.53 ,7557314,$141.40 ,$142.86 ,$141.27 
7/1/2019,$141.65 ,8996454,$140.45 ,$141.95 ,$139.22 
6/28/2019,$139.64 ,20078800,$139.41 ,$140.21 ,$138.61 
6/27/2019,$139.30 ,6466261,$141.00 ,$141.74 ,$138.92 
6/26/2019,$140.40 ,8842136,$140.36 ,$140.74 ,$139.51 
6/25/2019,$139.94 ,14675360,$139.02 ,$140.41 ,$138.67 
6/24/2019,$139.22 ,10497420,$140.12 ,$140.47 ,$137.80 
6/21/2019,$140.23 ,14150040,$141.95 ,$142.00 ,$140.00 
6/20/2019,$142.02 ,8485793,$141.98 ,$142.23 ,$139.91 
6/19/2019,$140.92 ,6877141,$139.51 ,$141.07 ,$138.58 
6/18/2019,$139.24 ,11231410,$141.99 ,$143.51 ,$138.97 
6/17/2019,$140.97 ,8542717,$140.81 ,$141.48 ,$139.11 
6/14/2019,$141.65 ,11125200,$142.05 ,$142.95 ,$140.53 
6/13/2019,$141.74 ,17939540,$137.95 ,$141.85 ,$137.61 
6/12/2019,$135.72 ,5536986,$135.09 ,$136.28 ,$134.82 
6/11/2019,$135.08 ,6352215,$137.59 ,$137.75 ,$134.94 
6/10/2019,$137.07 ,8479526,$138.88 ,$138.88 ,$136.07 
6/7/2019,$138.04 ,7026269,$137.60 ,$138.76 ,$137.33 
6/6/2019,$137.21 ,6027316,$136.51 ,$137.44 ,$135.73 
6/5/2019,$135.94 ,6842759,$135.41 ,$136.00 ,$134.94 
6/4/2019,$134.82 ,8247513,$133.45 ,$134.88 ,$132.92 
6/3/2019,$132.47 ,7901387,$132.02 ,$132.95 ,$131.49 
5/31/2019,$132.04 ,7420899,$130.96 ,$132.93 ,$130.78 
5/30/2019,$132.20 ,5273987,$131.88 ,$132.68 ,$131.34 
5/29/2019,$131.57 ,7749591,$131.96 ,$132.15 ,$130.78 
5/28/2019,$132.62 ,8938370,$133.21 ,$134.04 ,$132.59 
5/24/2019,$132.79 ,4570132,$133.10 ,$133.29 ,$132.22 
5/23/2019,$132.73 ,6743329,$132.71 ,$133.55 ,$131.95 
5/22/2019,$133.85 ,5093746,$133.82 ,$134.17 ,$133.39 
5/21/2019,$134.09 ,7050294,$134.57 ,$134.57 ,$133.11 
5/20/2019,$133.91 ,8009000,$134.25 ,$134.40 ,$133.25 
5/17/2019,$135.04 ,8964178,$134.26 ,$135.98 ,$134.03 
5/16/2019,$135.50 ,9689397,$135.29 ,$136.40 ,$134.81 
5/15/2019,$134.68 ,9734068,$132.55 ,$135.21 ,$132.04 
5/14/2019,$133.20 ,12001740,$133.52 ,$134.66 ,$132.05 
5/13/2019,$131.34 ,11389900,$131.50 ,$132.66 ,$130.55 
5/10/2019,$134.04 ,9858487,$133.01 ,$134.32 ,$131.23 
5/9/2019,$133.59 ,15297050,$135.03 ,$136.48 ,$132.84 
5/8/2019,$134.99 ,15423530,$133.50 ,$135.70 ,$133.31 
5/7/2019,$133.44 ,10972650,$135.35 ,$135.97 ,$132.76 
5/6/2019,$135.00 ,9955629,$132.54 ,$135.33 ,$132.30 
5/3/2019,$134.33 ,8874413,$135.22 ,$135.31 ,$133.78 
